ipv4_src,port_src,ipv4_dst,port_dst,proto,bytes_src,bytes_dst,packets_src,packets_dst,srv_dst_count,dst_count,category,probability
59.166.0.7,18127,149.171.126.2,143,6,4920,8618,60,58,1,4,Normal,0.00%
59.166.0.9,56766,149.171.126.2,42611,6,132,1914,2,6,1,4,Normal,0.04%
59.166.0.9,28068,149.171.126.2,21,6,1252,1378,18,16,1,4,Attack,83.93%
59.166.0.7,1827,149.171.126.8,53,17,174,206,2,2,1,3,Normal,1.29%
59.166.0.7,59714,149.171.126.8,80,6,1134,9036,10,10,1,3,Attack,88.40%
59.166.0.7,58737,149.171.126.3,5190,6,1232,2428,12,12,1,1,Attack,86.19%
59.166.0.0,24044,149.171.126.8,5190,6,1232,2428,12,12,1,3,Attack,79.68%
175.45.176.0,41569,149.171.126.17,80,6,248,124,4,2,1,3,Normal,2.23%
59.166.0.7,55601,149.171.126.7,53,17,174,206,2,2,1,1,Normal,21.32%
59.166.0.9,51530,149.171.126.2,23027,6,536,8992,8,12,1,4,Attack,61.11%
59.166.0.7,27849,149.171.126.6,80,6,1134,9036,10,10,1,2,Attack,95.18%
59.166.0.3,55202,149.171.126.6,38905,6,1150,798,13,8,1,2,Attack,92.47%
149.171.126.2,6881,59.166.0.8,39816,6,119872,2908,92,42,1,1,Attack,68.56%
175.45.176.3,62067,149.171.126.17,110,6,348,52232,6,36,1,3,Attack,100.00%
149.171.126.12,25,175.45.176.1,56919,6,348,34182,6,26,1,1,Attack,99.88%
149.171.126.5,22,59.166.0.4,11349,6,8140,6048,70,68,1,1,Normal,0.01%
149.171.126.14,80,175.45.176.3,43916,6,468,426,8,4,1,1,Attack,93.92%
149.171.126.3,6881,59.166.0.1,15376,6,304846,7004,227,102,1,1,Attack,100.00%
175.45.176.1,8249,149.171.126.17,179,6,240,240,4,4,1,3,Normal,1.02%
175.45.176.2,1395,149.171.126.18,21,6,178,128,2,2,1,1,Normal,2.38%
