ipv4_src,port_src,ipv4_dst,port_dst,proto,bytes_src,bytes_dst,packets_src,packets_dst,srv_dst_count,dst_count,category,probability
175.45.176.1,1133,149.171.126.11,445,6,1772,852,14,8,1,1,Attack,89.05%
59.166.0.9,32913,149.171.126.1,143,6,1792,9200,18,48,1,3,Normal,1.21%
59.166.0.6,1212,149.171.126.3,16784,17,316,360,2,4,1,4,Normal,0.83%
59.166.0.6,36412,149.171.126.7,15678,6,132,556,2,6,1,3,Normal,0.07%
175.45.176.1,56919,149.171.126.12,25,6,71269,804,52,14,1,1,Attack,67.57%
59.166.0.9,59276,149.171.126.5,53,17,174,206,2,2,1,3,Normal,1.29%
59.166.0.6,18322,149.171.126.3,111,17,312,180,2,2,1,4,Normal,0.83%
59.166.0.9,61173,149.171.126.4,80,6,1134,9036,10,10,3,6,Normal,26.29%
175.45.176.1,15888,149.171.126.17,179,6,526,352,6,6,1,3,Normal,8.92%
59.166.0.1,21934,149.171.126.8,143,6,702,1202,10,14,1,7,Normal,1.68%
59.166.0.6,20637,149.171.126.3,19450,6,4468,3500,26,30,1,4,Attack,53.25%
59.166.0.6,29055,149.171.126.1,22,6,9712,24498,92,204,1,3,Normal,0.00%
59.166.0.1,56172,149.171.126.4,20472,6,4702,52238,64,66,1,6,Normal,0.00%
59.166.0.1,28147,149.171.126.2,55743,6,2706,14546,34,36,1,7,Normal,5.08%
59.166.0.8,56834,149.171.126.9,5190,6,1232,2428,12,12,1,4,Attack,75.35%
59.166.0.4,40174,149.171.126.9,80,6,746,1384,4,8,1,4,Normal,0.28%
59.166.0.4,30154,149.171.126.4,53,17,174,206,2,2,2,6,Normal,0.60%
59.166.0.4,51129,149.171.126.4,80,6,1002,9036,8,10,3,6,Normal,6.30%
175.45.176.0,64723,149.171.126.17,21,6,388,584,6,6,1,3,Normal,10.75%
59.166.0.1,32847,149.171.126.9,53,17,160,192,2,2,1,4,Normal,0.81%
59.166.0.1,1844,149.171.126.4,80,6,1156,962,8,10,3,6,Normal,10.48%
59.166.0.1,46966,149.171.126.2,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.1,48630,149.171.126.2,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.1,43260,149.171.126.2,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.1,6151,149.171.126.2,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.1,42806,149.171.126.2,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.1,3754,149.171.126.2,6881,6,5498,450262,70,352,6,7,Attack,100.00%
59.166.0.0,53153,149.171.126.9,27967,6,4702,52238,64,66,1,4,Normal,0.00%
59.166.0.0,2602,149.171.126.5,33294,6,2706,14546,34,36,1,3,Normal,4.25%
59.166.0.0,49645,149.171.126.1,53,17,160,192,2,2,1,3,Normal,1.29%
59.166.0.0,43109,149.171.126.6,80,6,1156,962,8,10,1,2,Attack,61.33%
59.166.0.8,4362,149.171.126.4,53,17,174,206,2,2,2,6,Normal,0.60%
59.166.0.0,7056,149.171.126.8,6881,6,2328,804,16,10,6,7,Attack,50.75%
59.166.0.0,7848,149.171.126.8,6881,6,1500,672,12,8,6,7,Attack,56.20%
59.166.0.0,8611,149.171.126.8,6881,6,1500,804,12,10,6,7,Attack,54.05%
59.166.0.0,9368,149.171.126.8,6881,6,1500,672,12,8,6,7,Attack,56.20%
59.166.0.3,6859,149.171.126.7,5190,6,2228,4648,22,24,1,3,Attack,85.34%
59.166.0.0,10130,149.171.126.8,6881,6,1500,672,12,8,6,7,Attack,56.20%
59.166.0.0,42012,149.171.126.8,6881,6,1500,1490,12,12,6,7,Normal,49.08%
59.166.0.8,43997,149.171.126.5,80,6,1134,9036,10,10,1,3,Attack,88.40%
59.166.0.9,8263,149.171.126.6,2400,6,3250,24186,42,40,1,2,Normal,0.21%
59.166.0.0,55923,149.171.126.0,6881,6,12058,441346,176,338,1,1,Normal,0.00%
149.171.126.13,110,175.45.176.2,23851,6,1322,468,8,8,1,2,Attack,66.16%
175.45.176.3,62067,149.171.126.17,110,6,804,123616,14,90,1,3,Attack,100.00%
149.171.126.13,25,175.45.176.2,61532,6,812,344,6,4,1,2,Normal,38.86%
59.166.0.2,17766,149.171.126.3,80,6,746,1384,4,8,1,4,Normal,0.28%
59.166.0.1,64822,149.171.126.7,80,6,746,1384,4,8,1,3,Normal,0.42%
