ipv4_src,port_src,ipv4_dst,port_dst,proto,bytes_src,bytes_dst,packets_src,packets_dst,srv_dst_count,dst_count,category,probability
59.166.0.7,10346,149.171.126.1,7804,6,1848,33516,28,30,1,6,Normal,3.49%
59.166.0.7,41714,149.171.126.8,39575,6,2838,14546,36,36,1,3,Normal,1.80%
59.166.0.2,41241,149.171.126.7,53,17,160,192,2,2,1,3,Normal,1.29%
59.166.0.2,13294,149.171.126.3,80,6,1144,962,8,10,1,8,Normal,6.24%
59.166.0.2,14354,149.171.126.3,6881,6,1764,1896,16,18,7,8,Normal,0.09%
59.166.0.2,16163,149.171.126.3,6881,6,1764,1896,16,18,7,8,Normal,0.09%
59.166.0.2,17067,149.171.126.3,6881,6,1764,1896,16,18,7,8,Normal,0.09%
59.166.0.2,17921,149.171.126.3,6881,6,1764,1896,16,18,7,8,Normal,0.09%
59.166.0.2,18785,149.171.126.3,6881,6,1764,1896,16,18,7,8,Normal,0.09%
175.45.176.2,32029,149.171.126.16,5900,6,248,11320,4,16,1,1,Normal,40.33%
59.166.0.5,13890,149.171.126.8,53,17,174,206,2,2,1,3,Normal,1.29%
59.166.0.5,15644,149.171.126.7,80,6,1748,10420,12,18,1,3,Normal,2.23%
175.45.176.2,13004,149.171.126.12,110,6,600,176305,10,134,1,1,Attack,100.00%
175.45.176.2,17791,149.171.126.11,548,6,5196,576,12,10,1,1,Attack,82.83%
59.166.0.7,11032,149.171.126.2,22,6,5888,7344,64,72,1,7,Normal,0.00%
59.166.0.5,54403,149.171.126.8,22,6,984,1040,12,8,1,3,Attack,92.36%
59.166.0.2,34686,149.171.126.3,6881,6,14946,507166,208,400,7,8,Normal,0.00%
59.166.0.7,37499,149.171.126.1,22,6,272,140,4,2,1,6,Normal,0.67%
59.166.0.5,21533,149.171.126.1,53,17,160,192,2,2,2,6,Normal,0.60%
59.166.0.5,24288,149.171.126.1,80,6,1156,962,8,10,1,6,Normal,12.52%
59.166.0.5,25381,149.171.126.2,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.5,27156,149.171.126.2,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.5,28037,149.171.126.2,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.5,56540,149.171.126.2,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.5,51489,149.171.126.2,6881,6,1764,1896,16,18,6,7,Normal,0.23%
175.45.176.1,4384,149.171.126.17,179,6,1004,484,10,8,2,2,Attack,67.28%
59.166.0.4,20043,149.171.126.1,11830,6,4702,52238,64,66,1,6,Normal,0.00%
59.166.0.4,21662,149.171.126.7,19672,6,2706,14414,34,34,1,3,Normal,3.18%
59.166.0.0,21577,149.171.126.1,53,17,174,206,2,2,2,6,Normal,0.60%
59.166.0.0,23273,149.171.126.0,80,6,1134,9036,10,10,1,1,Attack,94.58%
59.166.0.4,28690,149.171.126.9,22,6,6916,17012,78,90,1,1,Normal,0.00%
59.166.0.5,26249,149.171.126.2,6881,6,13460,452194,186,360,6,7,Normal,0.00%
59.166.0.1,12107,149.171.126.3,6881,6,1090,27226,16,26,7,8,Attack,65.41%
149.171.126.7,22,59.166.0.9,15093,6,692,132,2,2,1,1,Normal,1.41%
149.171.126.17,25,175.45.176.3,5314,6,1648,58598,20,52,1,1,Attack,99.99%
175.45.176.1,1484,149.171.126.17,179,6,240,240,4,4,2,2,Normal,1.24%
