ipv4_src,port_src,ipv4_dst,port_dst,proto,bytes_src,bytes_dst,packets_src,packets_dst,srv_dst_count,dst_count,category,probability
59.166.0.7,8200,149.171.126.4,80,6,892,824,4,8,1,3,Normal,0.39%
149.171.126.7,80,59.166.0.8,34443,6,824,132,8,2,1,4,Attack,85.24%
59.166.0.0,65052,149.171.126.0,25,6,200,132,2,2,1,4,Normal,0.06%
149.171.126.4,80,59.166.0.3,58220,6,692,132,6,2,1,6,Normal,11.38%
149.171.126.8,25,59.166.0.7,35342,6,304,332,2,4,1,5,Normal,0.03%
149.171.126.1,80,59.166.0.4,40460,6,1252,132,10,2,1,6,Attack,88.08%
149.171.126.7,143,59.166.0.7,1144,6,3926,2354,28,32,1,5,Normal,49.45%
59.166.0.2,10580,149.171.126.4,143,6,1387,1870,19,17,1,3,Attack,87.39%
149.171.126.6,80,59.166.0.4,22336,6,692,132,6,2,1,6,Normal,11.38%
149.171.126.5,143,59.166.0.2,39249,6,2846,894,22,12,1,6,Attack,59.78%
149.171.126.5,143,59.166.0.6,39198,6,1866,1166,17,16,1,8,Normal,25.70%
149.171.126.9,80,59.166.0.4,29776,6,824,132,8,2,1,6,Attack,74.22%
59.166.0.3,40867,149.171.126.7,21,6,1012,1012,14,12,1,1,Attack,89.60%
59.166.0.3,52060,149.171.126.9,6881,6,404,140,6,2,3,3,Normal,9.07%
149.171.126.9,80,59.166.0.2,21003,6,956,132,10,2,1,6,Attack,88.23%
149.171.126.9,80,59.166.0.6,50089,6,692,132,6,2,1,8,Normal,5.33%
149.171.126.0,12939,59.166.0.1,15456,6,1656,1626,18,20,1,4,Normal,15.21%
59.166.0.4,25224,149.171.126.4,6881,6,272,140,4,2,1,3,Normal,2.16%
149.171.126.2,80,59.166.0.6,62669,6,692,132,6,2,1,8,Normal,5.33%
149.171.126.0,80,59.166.0.5,10230,6,692,132,6,2,1,2,Attack,68.94%
149.171.126.3,80,59.166.0.7,64065,6,692,132,6,2,1,5,Normal,16.25%
149.171.126.2,6881,59.166.0.7,20635,6,140,272,2,4,1,5,Normal,0.03%
59.166.0.0,3231,149.171.126.5,80,6,132,824,2,8,1,1,Normal,1.46%
149.171.126.2,80,59.166.0.7,17249,6,6056,132,4,2,1,5,Normal,0.00%
59.166.0.0,36184,149.171.126.3,21,6,1004,1450,14,17,1,2,Attack,70.30%
149.171.126.3,1173,59.166.0.8,61715,6,922,966,10,10,1,4,Attack,67.19%
149.171.126.2,80,59.166.0.3,21777,6,824,132,8,2,1,6,Attack,74.22%
59.166.0.3,50930,149.171.126.9,6881,6,272,140,4,2,3,3,Normal,0.86%
59.166.0.1,50815,149.171.126.0,80,6,132,824,2,8,1,4,Normal,0.04%
149.171.126.1,80,59.166.0.9,54017,6,824,132,8,2,1,1,Attack,94.30%
59.166.0.3,62373,149.171.126.9,6881,6,272,140,4,2,3,3,Normal,0.86%
149.171.126.8,25,59.166.0.3,42587,6,838,332,4,4,1,6,Normal,0.17%
